# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|55|079|0010|88101|1|7|105|117|19970901|00:00|15||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19970919|00:00|18||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19970925|00:00|9||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971001|00:00|7||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971007|00:00|25||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971013|00:00|6||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971019|00:00|19||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971025|00:00|3||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971031|00:00|31||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971106|00:00|8||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971112|00:00|14||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971118|00:00|24||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971124|00:00|30||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971130|00:00|13||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971206|00:00|6||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971212|00:00|14||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971218|00:00|27||6|||||||||||||
RD|I|55|079|0010|88101|1|7|105|117|19971224|00:00|27||6|||||||||||||
